# Sparse Matrix (Morse) 
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
81904 81904 0  81904
      420      1813 1
      421      1809 1
      422      1945 1
      423      1948 1
      424      1941 1
      425      1935 1
      426      1952 1
      427      1934 1
      428      1963 1
      429      1923 1
      430      1627 1
      431      1633 1
      432      1634 1
      433      1656 1
      434      1638 1
      435      1643 1
      436      1658 1
      437      1677 1
      438      1678 1
      439      1666 1
      440      1885 1
      441      1833 1
      442      1887 1
      443      1731 1
      444      1725 1
      445      1732 1
      446      1714 1
      447      1710 1
      448      1653 1
      449      1644 1
      450      1654 1
      451      1860 1
      452      1864 1
      453      1686 1
      454      1682 1
      455      1690 1
      456      1870 1
      457      1875 1
      458      1881 1
      459      1882 1
      460      2022 1
      461      2079 1
      462      2084 1
      463      2077 1
      464      2062 1
      465      1974 1
      466      1978 1
      467      1983 1
      468      1984 1
      469      1979 1
      470      1801 1
      471      1754 1
      472      1789 1
      473      1841 1
      474      1842 1
      475      1837 1
      476      1596 1
      477      1736 1
      478      1779 1
      479      1788 1
      480      1784 1
      481      1804 1
      482      1799 1
      483      1723 1
      484      1724 1
      485      1796 1
      486      2048 1
      487      1623 1
      488      1855 1
      489      1909 1
      490      2044 1
      491      2042 1
      492      2049 1
      493      1597 1
      494      1986 1
      495      1612 1
      496      2069 1
      497      2057 1
      498      1747 1
      499      2066 1
      500      1752 1
      501      1607 1
      502      1769 1
      503      1764 1
      504      1775 1
      505      1618 1
      506      1776 1
      507      1996 1
      508      1698 1
      509      1702 1
      510      1706 1
      511      2072 1
      512      1741 1
      513      1748 1
      514      2005 1
      515      2014 1
      516      2009 1
      517      1851 1
      518      1761 1
      519      1610 1
      520      1671 1
      521      1694 1
      522      2017 1
      523      2001 1
      524      1930 1
      525      2032 1
      526      2090 1
      527      2509 1
      528      1920 1
      529      2367 1
      530      2365 1
      531      2374 1
      532      2493 1
      533      2501 1
      534      2326 1
      535      2357 1
      536      2319 1
      537      2358 1
      538      2114 1
      539      2291 1
      540      2295 1
      541      2299 1
      542      2290 1
      543      2417 1
      544      2425 1
      545      2429 1
      546      2283 1
      547      2275 1
      548      2279 1
      549      2402 1
      550      2403 1
      551      2407 1
      552      2395 1
      553      2391 1
      554      2409 1
      555      2414 1
      556      2424 1
      557      2380 1
      558      2117 1
      559      2119 1
      560      2125 1
      561      2142 1
      562      2129 1
      563      2136 1
      564      2153 1
      565      2158 1
      566      2138 1
      567      2146 1
      568      2344 1
      569      2348 1
      570      2303 1
      571      2353 1
      572      2193 1
      573      2205 1
      574      2201 1
      575      2189 1
      576      2170 1
      577      2327 1
      578      2162 1
      579      2166 1
      580      2334 1
      581      2342 1
      582      2498 1
      583      2541 1
      584      2544 1
      585      2537 1
      586      2524 1
      587      2437 1
      588      2447 1
      589      2439 1
      590      2274 1
      591      2260 1
      592      2229 1
      593      2307 1
      594      2311 1
      595      2092 1
      596      2206 1
      597      2195 1
      598      2249 1
      599      2253 1
      600      2254 1
      601      2268 1
      602      2264 1
      603      2516 1
      604      2514 1
      605      2505 1
      606      2096 1
      607      2103 1
      608      2531 1
      609      2521 1
      610      2486 1
      611      2218 1
      612      2210 1
      613      2529 1
      614      2221 1
      615      2097 1
      616      2246 1
      617      2239 1
      618      2234 1
      619      2247 1
      620      2107 1
      621      2451 1
      622      2180 1
      623      2174 1
      624      2181 1
      625      2185 1
      626      2217 1
      627      2459 1
      628      2466 1
      629      2465 1
      630      2318 1
      631      2228 1
      632      2154 1
      633      2464 1
      634      2474 1
      635      2442 1
      636      2452 1
      637      2383 1
      638      2388 1
      639      2373 1
      640      2558 1
      641      2553 1
      642      2548 1
      643      2482 1
      644      2477 1
      645      2489 1
      646      2338 1
      647      2967 1
      648      2983 1
      649      2819 1
      650      2807 1
      651      2814 1
      652      2824 1
      653      2969 1
      654      2774 1
      655      2770 1
      656      2811 1
      657      2580 1
      658      2744 1
      659      2740 1
      660      2749 1
      661      2753 1
      662      2734 1
      663      2864 1
      664      2873 1
      665      2877 1
      666      2731 1
      667      2732 1
      668      2845 1
      669      2850 1
      670      2854 1
      671      2840 1
      672      2859 1
      673      2861 1
      674      2870 1
      675      2584 1
      676      2588 1
      677      2592 1
      678      2604 1
      679      2593 1
      680      2601 1
      681      2616 1
      682      2620 1
      683      2597 1
      684      2610 1
      685      2790 1
      686      2795 1
      687      2798 1
      688      2754 1
      689      2804 1
      690      2655 1
      691      2651 1
      692      2665 1
      693      2666 1
      694      2635 1
      695      2631 1
      696      2780 1
      697      2627 1
      698      2783 1
      699      2972 1
      700      3008 1
      701      3013 1
      702      3004 1
      703      2998 1
      704      2884 1
      705      2891 1
      706      2723 1
      707      2716 1
      708      2689 1
      709      2703 1
      710      2758 1
      711      2763 1
      712      2561 1
      713      2667 1
      714      2657 1
      715      2704 1
      716      2708 1
      717      2717 1
      718      2987 1
      719      2979 1
      720      2565 1
      721      2570 1
      722      2990 1
      723      3002 1
      724      2946 1
      725      2671 1
      726      2672 1
      727      2679 1
      728      2690 1
      729      2697 1
      730      2691 1
      731      2682 1
      732      2573 1
      733      2887 1
      734      2640 1
      735      2636 1
      736      2644 1
      737      2900 1
      738      2927 1
      739      2924 1
      740      2766 1
      741      2615 1
      742      2920 1
      743      2928 1
      744      2888 1
      745      2896 1
      746      2830 1
      747      2838 1
      748      2834 1
      749      3039 1
      750      3035 1
      751      3026 1
      752      3032 1
      753      3023 1
      754      2904 1
      755      2933 1
      756      2941 1
      757      2947 1
      758      2788 1
      759      2964 1
      760      3018 1
      761      2963 1
      762      2916 1
      763      2940 1
      764      2912 1
      765      2992 1
      766      2957 1
      767      3478 1
      768      3472 1
      769      3482 1
      770      3289 1
      771      3276 1
      772      3284 1
      773      3296 1
      774      3244 1
      775      3239 1
      776      3275 1
      777      3059 1
      778      3203 1
      779      3209 1
      780      3204 1
      781      3217 1
      782      3211 1
      783      3218 1
      784      3191 1
      785      3340 1
      786      3352 1
      787      3360 1
      788      3197 1
      789      3190 1
      790      3320 1
      791      3316 1
      792      3324 1
      793      3326 1
      794      3336 1
      795      3335 1
      796      3345 1
